addr,size,name,is_thunk,xref_count,calls_out,status
004b9cd2,13,FUN_004b9cd2,false,25,0,RAW-src
004bb730,5572,State11_InBattle_OnEnter,false,1,23,RAW-src
004bcd00,2962,State11_InBattle_OnExit,false,1,6,RAW-src
004bd8b0,17042,FUN_004bd8b0,false,1,69,RAW-src
004c1b90,242,FUN_004c1b90,false,1,1,RAW-src
004c1c90,126,FUN_004c1c90,false,1,5,RAW-src
004c1d10,17,FUN_004c1d10,false,1,1,RAW-src
004c1d30,4765,FUN_004c1d30,false,1,4,RAW-src
004c3020,22543,State11_InBattle_Render,false,1,25,RAW-src
004c8890,9420,FUN_004c8890,false,1,19,RAW-src
004caed0,944,State11_InBattle_RenderModeIcons,false,1,8,RAW-src
004cb280,2834,FUN_004cb280,false,4,22,RAW-src
004cbda0,1080,FUN_004cbda0,false,3,16,RAW-src
004cc1e0,977,HandleTurnTimeoutSlot,false,1,11,RAW-src
004cc5c0,1428,FUN_004cc5c0,false,2,18,RAW-src
004ccbb0,171,FUN_004ccbb0,false,1,0,RAW-src
004ccc60,171,FUN_004ccc60,false,1,0,RAW-src
004ccd10,5809,FUN_004ccd10,false,1,37,RAW-src
004ce3d0,556,FUN_004ce3d0,false,2,14,RAW-src
004ce610,1082,FUN_004ce610,false,2,24,RAW-src
004cea70,836,FUN_004cea70,false,4,10,RAW-src
004cedc0,97,FUN_004cedc0,false,1,0,RAW-src
004cee30,535,FUN_004cee30,false,2,9,RAW-src
004cf050,690,FUN_004cf050,false,3,7,RAW-src
004cf310,2038,FUN_004cf310,false,6,28,RAW-src
004cfb20,504,FUN_004cfb20,false,1,4,RAW-src
004cfd20,1341,FUN_004cfd20,false,1,8,RAW-src
004d0260,1874,FUN_004d0260,false,2,9,RAW-src
004d09c0,67,FUN_004d09c0,false,4,3,RAW-src
004d0a10,950,FUN_004d0a10,false,1,9,RAW-src
004d0dd0,179,FUN_004d0dd0,false,1,3,RAW-src
004d0e90,313,FUN_004d0e90,false,3,5,RAW-src
004d0fd0,1314,FUN_004d0fd0,false,1,13,RAW-src
004d1500,3109,LoadTerrainDeformationFrame,false,1,8,RAW-src
004d2130,61,FUN_004d2130,false,2,2,RAW-src
004d2170,341,FUN_004d2170,false,3,6,RAW-src
004d22d0,279,FUN_004d22d0,false,3,6,RAW-src
004d23f0,142,FUN_004d23f0,false,3,2,RAW-src
004d2480,102,BeginServerConnect,false,2,4,RAW-src
004d24f0,59,FUN_004d24f0,false,4,1,RAW-src
004d2530,64,FUN_004d2530,false,9,0,RAW-src
004d2570,97,FUN_004d2570,false,1,1,RAW-src
004d25e0,152,FUN_004d25e0,false,22,2,RAW-src
004d2680,350,FUN_004d2680,false,100,9,RAW-src
004d27e0,3116,FUN_004d27e0,false,3,19,RAW-src
004d34a0,65,FUN_004d34a0,false,1,0,RAW-src
004d34f0,56,FUN_004d34f0,false,2,0,RAW-src
004d3530,533,FUN_004d3530,false,2,11,RAW-src
004d3770,121,FUN_004d3770,false,1,1,RAW-src
004d37f0,30,FUN_004d37f0,false,1,2,RAW-src
004d3810,163,FUN_004d3810,false,1,2,RAW-src
004d38c0,5576,State09_ReadyRoom_ProcessPacket,false,1,44,RAW-src
